subject_id	predicate_id	object_id	mapping_justification
unit:J-PER-KiloGM-K	skos:exactMatch	eclass:IRDI_0173_1_05_AAA413_003	semapv:ManualMappingCuration
unit:J-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA005_003	semapv:ManualMappingCuration
unit:J-PER-M2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA451_003	semapv:ManualMappingCuration
unit:J-PER-M4	skos:exactMatch	eclass:IRDI_0173_1_05_AAA274_003	semapv:ManualMappingCuration
unit:J-PER-MOL	skos:exactMatch	eclass:IRDI_0173_1_05_AAA580_003	semapv:ManualMappingCuration
unit:J-PER-MOL-K	skos:exactMatch	eclass:IRDI_0173_1_05_AAA255_003	semapv:ManualMappingCuration
unit:J-M2-PER-KiloGM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA031_003	semapv:ManualMappingCuration
unit:K-PER-W	skos:exactMatch	eclass:IRDI_0173_1_05_AAA164_003	semapv:ManualMappingCuration
unit:KiloA	skos:exactMatch	eclass:IRDI_0173_1_05_AAA280_003	semapv:ManualMappingCuration
unit:KiloA-PER-M2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA535_003	semapv:ManualMappingCuration
unit:KiloA-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA619_003	semapv:ManualMappingCuration
unit:KiloC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA663_002	semapv:ManualMappingCuration
unit:KiloC-PER-M3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA166_003	semapv:ManualMappingCuration
unit:KiloC-PER-M2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA200_003	semapv:ManualMappingCuration
unit:KiloEV	skos:exactMatch	eclass:IRDI_0173_1_05_AAA468_002	semapv:ManualMappingCuration
unit:KiloGM-M-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA410_003	semapv:ManualMappingCuration
unit:KiloGM-M2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA744_003	semapv:ManualMappingCuration
unit:KiloGM-M2-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA041_003	semapv:ManualMappingCuration
unit:KiloGM-PER-DeciM3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA014_003	semapv:ManualMappingCuration
unit:KiloGM-PER-L	skos:exactMatch	eclass:IRDI_0173_1_05_AAA264_003	semapv:ManualMappingCuration
unit:KiloGM_F	skos:exactMatch	eclass:IRDI_0173_1_05_AAA992_002	semapv:ManualMappingCuration
unit:KiloGM_F-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA976_002	semapv:ManualMappingCuration
unit:KiloGM_F-PER-M2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA986_002	semapv:ManualMappingCuration
unit:KiloJ-PER-K	skos:exactMatch	eclass:IRDI_0173_1_05_AAA585_003	semapv:ManualMappingCuration
unit:KiloJ-PER-KiloGM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA704_003	semapv:ManualMappingCuration
unit:KiloJ-PER-KiloGM-K	skos:exactMatch	eclass:IRDI_0173_1_05_AAA125_003	semapv:ManualMappingCuration
unit:KiloJ-PER-MOL	skos:exactMatch	eclass:IRDI_0173_1_05_AAA307_003	semapv:ManualMappingCuration
unit:KiloMOL	skos:exactMatch	eclass:IRDI_0173_1_05_AAA346_003	semapv:ManualMappingCuration
unit:KiloMOL-PER-M3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA693_003	semapv:ManualMappingCuration
unit:KiloN	skos:exactMatch	eclass:IRDI_0173_1_05_AAA737_003	semapv:ManualMappingCuration
unit:KiloN-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA649_003	semapv:ManualMappingCuration
unit:KiloOHM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA529_003	semapv:ManualMappingCuration
unit:KiloSEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA021_003	semapv:ManualMappingCuration
unit:KiloS	skos:exactMatch	eclass:IRDI_0173_1_05_AAA582_003	semapv:ManualMappingCuration
unit:KiloS-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA083_003	semapv:ManualMappingCuration
unit:KiloV-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA594_003	semapv:ManualMappingCuration
unit:KiloWB-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA572_003	semapv:ManualMappingCuration
unit:L-PER-MOL	skos:exactMatch	eclass:IRDI_0173_1_05_AAA130_003	semapv:ManualMappingCuration
unit:LM-PER-W	skos:exactMatch	eclass:IRDI_0173_1_05_AAA557_003	semapv:ManualMappingCuration
unit:LM-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA334_003	semapv:ManualMappingCuration
unit:LUX-HR	skos:exactMatch	eclass:IRDI_0173_1_05_AAA747_003	semapv:ManualMappingCuration
unit:MegaA-PER-M2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA612_003	semapv:ManualMappingCuration
unit:MegaC-PER-M3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA210_003	semapv:ManualMappingCuration
unit:MegaC-PER-M2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA443_003	semapv:ManualMappingCuration
unit:MegaEV	skos:exactMatch	eclass:IRDI_0173_1_05_AAA544_002	semapv:ManualMappingCuration
unit:MegaGM-PER-M3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA689_003	semapv:ManualMappingCuration
unit:MegaN	skos:exactMatch	eclass:IRDI_0173_1_05_AAA534_003	semapv:ManualMappingCuration
unit:MegaN-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA530_003	semapv:ManualMappingCuration
unit:MegaOHM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA559_002	semapv:ManualMappingCuration
unit:MegaS-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA395_003	semapv:ManualMappingCuration
